SKU;product_sold;date;quantity;unit_price;total_price;currency;site;discount_coupon;discount_value;buyer_birth_date;buyer_name;delivery_country;invoice_id
SKU-40XXV01;NEW MEGANIUM RG 40XXV;25/09/2024;5;100;500;GBP;Shopee;COUPONudNFF;86.97;11/01/1977;Caitlin Hampton;Canada;c9004617-7380-4423-8308-61000d7476d6
SKU-35XX01;NEW MEGANIUM RG35XX;20/08/2024;2;90;180;USD;Shopee;COUPONwKSYr;52.45;18/04/1985;Kristen Murphy;Canada;97963f60-5c5e-4a43-b82f-ac7b4af9b836
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;30/10/2024;5;80;400;EUR;Shopee;COUPONPomKJ;91.5;11/05/2000;Emily Caldwell;France;0ad4ad4c-8340-4049-9f12-7e9c7b31d0ba
SKU-40XXV01;NEW MEGANIUM RG 40XXV;29/09/2024;2;100;200;USD;Shopee;COUPONFMOPN;38.84;20/12/1973;Elizabeth Adams;Japan;e56075d8-7299-493a-bb4d-000159e2c2ed
SKU-353M01;MEGANIUM RG353M;11/09/2024;1;110;110;GBP;Shopee;COUPONKlEUV;24.29;19/05/1976;Cheryl Newman;Japan;023f2324-7bcd-4839-b056-9ff3524574ea
SKU-28XX01;NEW MEGANIUM RG28XX;27/07/2024;3;70;210;GBP;Shopee;COUPONZRbxY;59.63;09/11/1987;Janice Davis;France;e12a185d-82b1-447e-9e7d-fe0d1de8007c
SKU-28XX01;NEW MEGANIUM RG28XX;09/10/2024;5;70;350;USD;Shopee;COUPONRQsQz;55.17;11/09/2005;Lindsay Gentry MD;Japan;2e3d63d9-801b-4165-938c-e5abc890f1be
SKU-35XX01;NEW MEGANIUM RG35XX;14/09/2024;5;90;450;EUR;Shopee;COUPONzOzuT;89.86;02/11/1981;Stephanie Hopkins;Canada;36bc18b3-cb91-4d89-80a2-f86a6898ec5d
SKU-353M01;MEGANIUM RG353M;25/08/2024;5;110;550;USD;Shopee;COUPONHerTy;158.09;28/12/1971;Zachary Murray;Australia;fa219d36-74d4-4864-922a-76fbe5c95ad6
SKU-40XXV01;NEW MEGANIUM RG 40XXV;07/06/2024;5;100;500;EUR;Shopee;COUPONPITuY;115.82;26/07/1977;Judy Schwartz;Canada;02934276-6f9d-4212-9086-575a08c9da77
SKU-40XXV01;NEW MEGANIUM RG 40XXV;07/07/2024;1;100;100;USD;Shopee;COUPONKyPDq;22.1;03/03/1995;Kristin Vaughn;Canada;c1e549d0-c447-407e-bc1a-ae191762823e
SKU-28XX01;NEW MEGANIUM RG28XX;20/10/2024;2;70;140;USD;Shopee;COUPONeGOOd;27.16;02/09/1980;Brendan Collier;Australia;15c45273-cd32-453c-b563-03288ec3b130
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;28/05/2024;3;80;240;USD;Shopee;COUPONoJTzR;14.04;11/03/1974;Robert Buchanan;Germany;947bddf5-b5c5-4e58-aab9-888478d0daf1
SKU-28XX01;NEW MEGANIUM RG28XX;27/10/2024;3;70;210;GBP;Shopee;COUPONtqsSS;45.03;24/03/1997;Chris Fuller;Canada;a9673d84-dbe7-4620-9571-77dd010a3609
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;24/06/2024;4;80;320;USD;Shopee;COUPONMCPHI;55.79;06/10/1965;Jeremy Bradley;Australia;5c75b2a0-ceaf-490a-a36c-16c25db8ec13
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;28/09/2024;2;80;160;EUR;Shopee;COUPONBdZic;45.67;18/04/1998;James Jimenez;Canada;8f6695ed-eb45-4716-8370-b15a94a73528
SKU-40XXV01;NEW MEGANIUM RG 40XXV;18/08/2024;1;100;100;USD;Shopee;COUPONhtUfb;27.04;08/05/1982;Brandon Shepherd;Japan;fe43ffe0-14b9-4267-91c7-508315c28e90
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;08/07/2024;4;80;320;GBP;Shopee;COUPONGwiWB;66.68;16/03/1991;Joshua Smith;Australia;69ca4af4-2438-499e-9b5b-8764c5da9e83
SKU-353M01;MEGANIUM RG353M;02/10/2024;2;110;220;GBP;Shopee;COUPONBzLXJ;13.66;11/03/1981;Ariel Bond;UK;cc1e64d9-a0c0-47ac-9bba-92afa0247715
SKU-35XX01;NEW MEGANIUM RG35XX;27/10/2024;4;90;360;USD;Shopee;COUPONSylJr;80.99;04/09/1972;Ryan Brown;France;6378762d-309a-4fcd-be2b-ce0ca1e29c6d
